DOT,Legal_Name,Business_State,business_county,County ,ISS,Years_In_Business,Number Of Trucks ,Yearly Premium
3679204,3RT TRANSPORT LLC,FL,ORANGE,Normal,,0,1,15000
3679343,MAGIC CARPET FREIGHT SERVICES LLC,FL,HILLSBOROUGH,Normal,,0,1,15000
3679633,MGALVEZ TRANSPORT LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3679681,S BURGOS TRANSPORT INC,FL,MIAMI-DADE,High Risk,,0,1,17500
3679689,LAWRENCE TRANSPORTATION LLC,FL,ORANGE,Normal,,0,1,15000
3679767,JAQUEZA ENTERPRISES LLC,FL,PINELLAS,Normal,,0,1,15000
3679776,HONDU TRANSPORT LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3679909,SANTANA SERVICES LLC,FL,MARION,Normal,,0,1,15000
3679951,DYNAMIC TRUCKING UNLIMITED LLC,GA,LOWNDES,Normal,,0,1,15000
3680078,HOLMAN MICKLES,FL,ESCAMBIA,Normal,,0,1,15000
3680129,RAMSEY TRUCKLINE LLC,FL,MARION,Normal,,0,1,15000
3680133,5 FLAGS LOGISTICS INC,FL,SANTA ROSA,Normal,,0,1,15000
3680346,CH PLUS EXPRESS LLC,FL,ORANGE,Normal,,0,1,15000
3680485,FRANGI TRANSPORTATION USA LLC,FL,BROWARD,Normal,,0,1,15000
3680597,AUTOBAHN LOGISTICS INC,FL,ORANGE,Normal,,0,1,15000
3680853,FIDES LLC,FL,BROWARD,Normal,,0,1,15000
3680881,BIG 5 LOGISTICS LLC,FL,PASCO,Normal,,0,1,15000
3680981,ESPINOSA TRUCK CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3681174,YES AUTO SHIPPING INC,FL,MIAMI-DADE,High Risk,,0,1,17500
3681226,IHS LEGACY LOGISTICS LLC,FL,LAKE,Normal,,0,1,15000
3681498,ICON LOGISTICS LLC,FL,ORANGE,Normal,,0,1,15000
3681528,JL FOUR SEASONS LOGISTICS LLC,FL,PINELLAS,Normal,,0,1,15000
3681629,B & N SHULER'S TRANSPORT LLC,FL,PINELLAS,Normal,,0,1,15000
3681740,3D EXPRESS DUVAL INC,FL,DUVAL,Normal,,0,1,15000
3681816,W&W QUALITY TRUCKING INC,FL,DUVAL,Normal,,0,1,15000
3681822,ONY EXPRESS GROUP CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3682108,ALBI TECH MULTI SERVICES LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3682127,AOR LOGISTICS CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3682138,BALMACEDA TRANSPORT CORP,FL,HILLSBOROUGH,Normal,,0,1,15000
3682206,REICHSMARK TRUCKING LLC,FL,ESCAMBIA,Normal,,0,1,15000
3682388,A & F LOGISTICS SERVICES LLC,FL,ORANGE,Normal,,0,1,15000
3682435,JB & DAILY LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3683160,HUSTLIN' HOTSHOTS LLC,FL,SANTA ROSA,Normal,,0,1,15000
3683353,CSTAR ENTERPRISE LLC,FL,FLAGLER,Normal,,0,1,15000
3683437,TWINZ AUTO TRANSPORT LLC,FL,GADSDEN,Normal,,0,1,15000
3683810,PINAR DELIVERY INC,FL,MIAMI-DADE,High Risk,,0,1,17500
3683833,JOHN LUIS TRUCKING CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3683846,GOD'S BLESSING TRUCKING AND TRANSPORT INC,FL,PALM BEACH,Normal,,0,1,15000
3683897,DRITAN LOGISTICS LLC,FL,HILLSBOROUGH,Normal,,0,1,15000
3684020,R GREEN TRUCKING INC,FL,HILLSBOROUGH,Normal,,0,1,15000
3684044,SL & DM DELIVERY SERVICES CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3684371,MATEO MENDOZA TRANSPORTATION LLC,FL,OSCEOLA,Normal,,0,1,15000
3684690,JOELEM LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3684772,ROYALE P&M TRANSPORTATION LLC,FL,ORANGE,Normal,,0,1,15000
3684810,NAOK TRANSPORT LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3684840,EXPRESS AJLS LLC,FL,OSCEOLA,Normal,,0,1,15000
3684921,SOS TRANSPORTATION LLC,FL,INDIAN RIVER,Normal,,0,1,15000
3685143,CEBALLOS TRANSPORTATION CORP,FL,DUVAL,Normal,,0,1,15000
3685322,RICARDO TRANSPORT SERVICE LLC,FL,OSCEOLA,Normal,,0,1,15000
3685359,OLYMPIA FREIGHT INC,FL,LEE,Normal,,0,1,15000
